CoordinatedSampleNumber	Site	State	Disturbed_Remnant	Known_History_Of_Tilling_Or_Construction	Avg_latitude	Avg_longitude	PRISM_annualMinTemp_Deg_C	PRISM_annualMeanTemp_Deg_C	PRISM_annualMaxTemp_Deg_C	PRISM_annualPrecip_inCM	Calc_EstimatedRatio_PrecipToET	Calc_EstimatedAnnual_ET_inCM	NOAA_meanAnnualTemp_degC	NOAA_AnnualPrecip_mm	NOAA_GrowingSeasonAprOct_Precip_mm	NOAA_Annual_ETo_mm	NOAA_GrowingSeasonAprOct_ETo_mm	CropCoeff_forNOAA_ETo	NOAA_Annual_PET_mm	NOAA_GrowingSeasonAprOct_PET_mm	NOAA_aridityIndex_P.PET	NOAA_GrowingSeasonAprOct_aridityIndex_P.PET	perc_OM	Bray1P_ppm	Bray2P_ppm	K_ppm	Mg_ppm	Ca_ppm	soil_pH	buffer_pH	CEC_meqPer100g	perc_K_sat	perc_Mg_sat	perc_Ca_sat	perc_H_sat	nitrate_ppm	ammonium_ppm	bicarbP_ppm	orgC_perc	Ntotal_perc	C_N
75	Stillwater	OK	Remnant	NA	36.06813871	-97.19373271	9.68999958	15.88000011	22.05999947	92.50599976	0.756578968	69.98809379	15.93669804	759.14	566.12	1714.083	1301.3	0.85	1456.97055	1106.105	0.521040044	0.511813978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	Stillwater	OK	Remnant	NA	36.06813871	-97.19373271	9.68999958	15.88000011	22.05999947	92.50599976	0.756578968	69.98809379	15.93669804	759.14	566.12	1714.083	1301.3	0.85	1456.97055	1106.105	0.521040044	0.511813978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	Stillwater	OK	Remnant	NA	36.06813871	-97.19373271	9.68999958	15.88000011	22.05999947	92.50599976	0.756578968	69.98809379	15.93669804	759.14	566.12	1714.083	1301.3	0.85	1456.97055	1106.105	0.521040044	0.511813978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	Stillwater	OK	Remnant	NA	36.06813871	-97.19373271	9.68999958	15.88000011	22.05999947	92.50599976	0.756578968	69.98809379	15.93669804	759.14	566.12	1714.083	1301.3	0.85	1456.97055	1106.105	0.521040044	0.511813978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	Stillwater	OK	Disturbed	N	36.05959213	-97.2384445	9.729999542	15.89999962	22.06999969	92.20200195	0.757679267	69.85954523	15.93669804	759.14	566.12	1714.083	1301.3	0.85	1456.97055	1106.105	0.521040044	0.511813978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	Stillwater	OK	Disturbed	N	36.05959213	-97.2384445	9.729999542	15.89999962	22.06999969	92.20200195	0.757679267	69.85954523	15.93669804	759.14	566.12	1714.083	1301.3	0.85	1456.97055	1106.105	0.521040044	0.511813978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	Stillwater	OK	Disturbed	N	36.05959213	-97.2384445	9.729999542	15.89999962	22.06999969	92.20200195	0.757679267	69.85954523	15.93669804	759.14	566.12	1714.083	1301.3	0.85	1456.97055	1106.105	0.521040044	0.511813978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	FtRiley	KS	Remnant	NA	39.1297639	-96.8526083	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.3	1	2	113	730	1650	6.4	6.8	17	1.7	35.7	48.5	14.1	10	4	1	2.5	0.178	14
100	FtRiley	KS	Disturbed	U	39.1205056	-96.8800194	6.289999962	12.76000023	19.21999931	83.6460022	0.759936554	63.56565467	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	3.3	7	25	290	140	3950	7.8	NA	21.7	3.4	5.4	91.2	NA	8	2	2	1.9	0.212	9
103	FtRiley	KS	Remnant	NA	39.1297639	-96.8526083	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.8	4	6	243	305	1450	6.3	6.8	12.8	4.9	19.8	56.6	18.7	8	3	1	2.8	0.242	11.6
104	FtRiley	KS	Disturbed	U	39.1205056	-96.8800194	6.289999962	12.76000023	19.21999931	83.6460022	0.759936554	63.56565467	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	3.9	14	44	245	160	3700	7.8	NA	20.5	3.1	6.5	90.4	NA	12	3	7	2.3	0.208	11.1
105	FtRiley	KS	Disturbed	U	39.1205056	-96.8800194	6.289999962	12.76000023	19.21999931	83.6460022	0.759936554	63.56565467	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	3.8	10	25	333	250	2800	7.7	NA	16.9	5	12.3	82.7	NA	4	4	3	2.2	0.189	11.6
107	FtRiley	KS	Disturbed	U	39.16071	-96.882791	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	FtRiley	KS	Disturbed	U	39.16071	-96.882791	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	FtRiley	KS	Disturbed	U	39.1205056	-96.8800194	6.289999962	12.76000023	19.21999931	83.6460022	0.759936554	63.56565467	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	3.3	10	37	270	160	3850	7.9	NA	21.3	3.3	6.3	90.5	NA	3	3	3	1.9	0.188	10.1
112	FtRiley	KS	Remnant	NA	39.1297639	-96.8526083	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	5.1	6	8	242	330	1550	6.5	6.9	12.3	5	22.3	62.9	9.7	5	3	1	3	0.229	13.1
115	FtRiley	KS	Disturbed	U	39.16071	-96.882791	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.3	1	25	163	105	5050	7.7	NA	26.5	1.6	3.3	95.1	NA	1	3	1	2.5	0.218	11.5
116	FtRiley	KS	Disturbed	U	39.16071	-96.882791	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.7	1	6	148	80	5150	7.9	NA	26.8	1.4	2.5	96.1	NA	2	3	1	2.7	0.223	12.1
117	FtRiley	KS	Remnant	NA	39.1297639	-96.8526083	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	5	5	5	226	295	1300	6.5	6.9	10.7	5.4	22.9	60.5	11.2	1	3	1	2.9	0.249	11.6
118	FtRiley	KS	Disturbed	U	39.16071	-96.882791	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.1	1	10	161	85	5900	7.9	NA	30.6	1.3	2.3	96.3	NA	1	3	1	2.4	0.198	12.1
119	PrairiePines	IL	Disturbed	Y	40.2834194	-88.150725	4.96999979	10.77999973	16.57999992	99.7460022	0.64678352	64.51407045	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	3.9	8	37	175	440	2400	7.4	NA	16.1	2.8	22.8	74.5	NA	9	3	2	2.3	0.21	11
120	PrairiePines	IL	Disturbed	Y	40.2834194	-88.150725	4.96999979	10.77999973	16.57999992	99.7460022	0.64678352	64.51407045	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	5.2	11	42	180	650	2550	7.3	NA	18.6	2.5	29.1	68.4	NA	13	6	5	3	0.259	11.6
121	ChanuteDump	IL	Disturbed	Y	40.2849	-88.13255	4.960000038	10.77000046	16.57999992	99.71500244	0.64685784	64.50143105	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	4.5	7.333333333	34.66666667	161.3333333	546.6666667	2550	7.433333333	NA	17.7	2.366666667	25.6	72.06666667	NA	9.666666667	4.333333333	2.666666667	2.633333333	0.238333333	11.06666667
123	FtRiley	KS	Remnant	NA	39.1297639	-96.8526083	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.5	3	4	270	410	1450	6.3	6.8	13.8	5	24.8	52.7	17.4	1	3	1	2.6	0.201	12.9
124	FtRiley	KS	Disturbed	U	39.1205056	-96.8800194	6.289999962	12.76000023	19.21999931	83.6460022	0.759936554	63.56565467	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	3.6	3	13	327	320	3000	7.7	NA	18.5	4.5	14.4	81.1	NA	11	2	2	2.1	0.186	11.3
125	FtRiley	KS	Remnant	NA	39.1297639	-96.8526083	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	5.2	2	5	254	360	1950	6.8	NA	13.8	4.7	21.7	70.6	3	2	4	1	3	0.21	14.3
132	FtRiley	KS	Disturbed	U	39.16071	-96.882791	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.8	1	13	137	90	4750	7.8	NA	24.9	1.4	3	95.6	NA	3	5	1	2.8	0.218	12.8
133	FtRiley	KS	Remnant	NA	39.1297639	-96.8526083	6.239999771	12.63000011	19.01000023	84.17700195	0.754695466	63.52800173	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	4.7	4	4	224	335	1350	6.3	6.9	11.3	5.1	24.7	59.6	10.6	6	4	1	2.7	0.223	12.1
134	FtRiley	KS	Disturbed	U	39.1205056	-96.8800194	6.289999962	12.76000023	19.21999931	83.6460022	0.759936554	63.56565467	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	3.5	14	38	302	155	3700	7.5	NA	20.6	3.8	6.3	90	NA	5	3	5	2	0.204	9.8
135	ChanuteDump	IL	Disturbed	Y	40.2849	-88.13255	4.960000038	10.77000046	16.57999992	99.71500244	0.64685784	64.50143105	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	4.5	7.333333333	34.66666667	161.3333333	546.6666667	2550	7.433333333	NA	17.7	2.366666667	25.6	72.06666667	NA	9.666666667	4.333333333	2.666666667	2.633333333	0.238333333	11.06666667
136	Loda	IL	Remnant	NA	40.5271528	-88.0753528	4.679999828	10.38000011	16.07999992	96.38800049	0.651773083	62.82310426	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	11.9	7	13	218	820	2950	6.7	6.9	23.3	2.4	29.3	63.2	5.1	17	10	3	6.9	0.55	12.5
137	Loda	IL	Remnant	NA	40.5271528	-88.0753528	4.679999828	10.38000011	16.07999992	96.38800049	0.651773083	62.82310426	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	9.9	4	13	203	815	2750	6.8	NA	21.7	2.4	31.3	63.3	3	12	9	1	5.7	0.449	12.7
138	Paxton	IL	Remnant	NA	40.439825	-88.1048667	4.829999924	10.53999996	16.25	96.88099976	0.652748887	63.23896474	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	9.5	4	8	194	450	2050	6.4	6.8	16.9	2.9	22.2	60.7	14.2	12	11	3	5.5	0.428	12.9
140	ShortLine	IL	Remnant	NA	40.3057611	-87.997225	5.039999962	10.76000023	16.47999954	98.93300171	0.647914888	64.10016475	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	3.7	4	4	97	295	1000	5.6	6.7	11.3	2.2	21.7	44.2	31.8	1	10	1	2.1	0.183	11.5
141	Pellsville	IL	Remnant	NA	40.4610278	-87.9244333	4.869999886	10.59000015	16.29999924	97.3539978	0.651678291	63.44348689	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	6.6	7	4	107	400	1200	5.7	6.7	13.2	2.1	25.2	45.4	27.3	3	12	1	3.8	0.318	11.9
142	Pellsville	IL	Remnant	NA	40.4610278	-87.9244333	4.869999886	10.59000015	16.29999924	97.3539978	0.651678291	63.44348689	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	7.5	6	4	110	435	1300	5.6	6.6	15.2	1.9	23.8	42.7	31.6	3	13	1	4.4	0.332	13.3
